City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,keflavik,64.0049,-22.5624,12.95,71,0,8.23,IS,1689709951
83,banda aceh,5.5577,95.3222,26.95,82,100,6.62,ID,1689709958
84,pasuquin,18.3328,120.6177,24.97,100,75,1.54,PH,1689709958
85,lazaro cardenas,17.9583,-102.2,32.34,58,100,5.51,MX,1689709958
86,leninsk,48.7119,45.1994,22.38,54,96,3.31,RU,1689709958
87,colonia,50.9333,6.95,22.75,51,0,1.54,DE,1689709958
88,tura,25.5198,90.2201,24.37,97,68,2.27,IN,1689709959
89,bodaybo,57.8506,114.1933,11.83,81,100,1.11,RU,1689709959
90,saldanha,-33.0117,17.9442,13.03,66,18,5.69,ZA,1689709959
91,yevpatoriya,45.1972,33.3558,23.94,69,69,4.55,UA,1689709839
92,rioblanco,3.5308,-75.6806,24.82,53,39,1.96,CO,1689709960
93,kavaratti,10.5669,72.642,28.17,79,100,8.98,IN,1689709960
94,tommot,58.9564,126.2925,14.29,97,100,1.87,RU,1689709960
95,timbiqui,2.7717,-77.6654,29.85,67,85,2.82,CO,1689709960
96,avarua,-21.2078,-159.775,22.03,78,100,2.57,CK,1689709960
97,mount isa,-20.7333,139.5,10.87,71,63,2.57,AU,1689709961
98,fukuecho,32.6881,128.8419,26.67,91,3,7.83,JP,1689709961
99,merzig,49.45,6.6333,26.25,51,42,1.19,DE,1689709961
100,papatowai,-46.5619,169.4708,7.91,74,100,3.7,NZ,1689709962
101,ardakan,32.31,54.0175,34.6,18,76,3.4,IR,1689709962
102,pathein,16.7833,94.7333,26.38,89,100,4.01,MM,1689709962
103,singaparna,-7.3515,108.111,20.43,97,88,1.29,ID,1689709962
104,basco,20.4487,121.9702,29.1,78,100,5.32,PH,1689709963
105,cidreira,-30.1811,-50.2056,12.54,72,80,4.22,BR,1689709963
106,mitchell,43.7094,-98.0298,25.99,53,0,4.63,US,1689709693
107,afaahiti,-17.75,-149.2833,26.93,78,50,9.12,PF,1689709963
108,chegdomyn,51.1167,133.0167,16.47,85,0,0.67,RU,1689709963
109,ixtapa,20.7,-105.2,31.79,68,95,2.24,MX,1689709964
110,turiacu,-1.6633,-45.3717,28.48,66,5,3.21,BR,1689709964
111,port alfred,-33.5906,26.891,14.54,91,80,0.89,ZA,1689709964
112,orsa,54.5153,30.4053,12.4,90,22,4.45,BY,1689709964
113,ta`u,-14.2336,-169.5144,26.38,80,99,4.81,AS,1689709965
114,alofi,-19.0595,-169.9187,20.94,73,100,4.63,NU,1689709965
115,amga,60.8953,131.9608,15.33,97,80,1.17,RU,1689709965
116,vorgashor,67.5833,63.95,15.49,89,95,2.49,RU,1689709965
117,constantia,44.1833,28.65,23.38,61,18,5.87,RO,1689709966
118,college,64.8569,-147.8028,20.26,75,75,2.57,US,1689709966
119,puerto baquerizo moreno,-0.9,-89.6,27.55,78,75,5.14,EC,1689709685
120,phnom penh,11.5625,104.916,27.95,78,40,4.63,KH,1689709670
121,minas de marcona,-15.2119,-75.1103,18.46,55,2,4.53,PE,1689709966
122,fort saskatchewan,53.7168,-113.2187,20.56,74,100,7.2,CA,1689709967
123,sattahip,12.6664,100.9007,28.05,78,20,3.6,TH,1689709967
124,vikulovo,56.8167,70.6107,21.68,68,100,6.09,RU,1689709967
125,lautoka,-17.6167,177.4667,21.92,73,75,4.12,FJ,1689709967
126,harstad,68.799,16.5293,12.66,99,100,2.68,NO,1689709968
127,lihue,21.9789,-159.3672,27.77,68,20,8.75,US,1689709968
128,altai,46.3722,96.2583,15.25,41,20,0.3,MN,1689709969
129,panacan,9.2463,118.4082,26.3,84,100,4.17,PH,1689709970
130,utrik,11.2278,169.8474,27.91,82,64,6.94,MH,1689709970
131,namibe,-15.1961,12.1522,20.02,66,0,1.53,AO,1689709940
132,sigli,5.3848,95.9609,27.45,71,100,3.16,ID,1689709970
133,patur,20.45,76.9333,24.96,91,100,4.24,IN,1689709970
134,strezhevoy,60.7333,77.5889,15.91,78,6,2.64,RU,1689709971
135,albany,42.6001,-73.9662,29.47,70,69,0.98,US,1689709858
136,monte argentario,42.4345,11.1195,27.89,79,0,3.36,IT,1689709971
137,kitimat,54.0524,-128.6534,18.21,56,100,1.07,CA,1689709971
138,rongelap,11.1635,166.8941,28.19,79,84,6.08,MH,1689709972
139,la ronge,55.1001,-105.2842,23.12,49,75,7.2,CA,1689709972
140,jamestown,42.097,-79.2353,26.12,55,40,5.14,US,1689709972
141,paracuru,-3.41,-39.0306,27.84,70,7,6.16,BR,1689709972
142,lompoc,34.6391,-120.4579,26.44,68,40,3.6,US,1689709973
143,amahai,-3.3333,128.9167,24.37,89,39,2.12,ID,1689709973
144,ceeldheer,3.8488,47.1806,24.65,86,64,9.0,SO,1689709973
145,thompson,55.7435,-97.8558,21.09,49,40,1.54,CA,1689709973
146,udachny,66.4167,112.4,13.65,74,80,6.11,RU,1689709974
147,port saint john's,-31.6229,29.5448,20.2,56,0,2.43,ZA,1689709974
148,i-n-salah,27.1935,2.4607,37.26,8,2,4.36,DZ,1689709974
149,kapa'a,22.0752,-159.319,28.18,74,100,7.2,US,1689709974
150,gamba,-2.65,10.0,21.34,94,90,2.53,GA,1689709975
151,rainsville,34.4943,-85.8477,32.12,49,75,4.12,US,1689709975
152,dabakala,8.3667,-4.4333,25.09,84,33,1.6,CI,1689709975
153,chonchi,-42.6128,-73.8092,7.29,94,100,3.21,CL,1689709975
154,ciudad lazaro cardenas,17.9583,-102.2,32.34,58,100,5.51,MX,1689709976
155,shizunai-furukawacho,42.3339,142.3669,18.01,95,100,1.9,JP,1689709976
156,houghton,47.1219,-88.569,21.53,51,20,5.66,US,1689709954
157,hammerfest,70.6634,23.6821,10.25,100,75,0.0,NO,1689709976
158,funafuti,-8.5243,179.1942,29.0,84,20,0.51,TV,1689709976
159,punta arenas,-53.15,-70.9167,3.09,80,100,3.64,CL,1689709759
160,khandyga,62.6667,135.6,13.59,94,69,2.54,RU,1689709977
161,guerrero negro,27.9769,-114.0611,26.57,54,11,7.68,MX,1689709711
162,castillos,-34.1667,-53.8333,9.31,67,26,3.78,UY,1689709963
163,st. john's,47.5649,-52.7093,27.93,75,75,10.29,CA,1689709519
164,jiagedaqi,50.4167,124.1167,16.34,97,13,1.34,CN,1689709978
165,koryazhma,61.3143,47.1691,17.14,83,11,1.33,RU,1689709978
166,fuglafjordur,62.244,-6.814,8.26,86,100,11.65,FO,1689709978
167,ulanhot,46.0833,122.0833,19.47,91,18,2.13,CN,1689709978
168,la'ie,21.6477,-157.9253,29.14,69,31,1.79,US,1689709979
169,glendive,47.1053,-104.7125,29.31,30,0,9.26,US,1689709976
170,fort bragg,35.139,-79.006,34.55,47,20,0.89,US,1689709979
171,plettenberg bay,-34.0527,23.3716,12.92,85,100,9.9,ZA,1689709979
172,trairi,-3.2778,-39.2689,27.33,70,9,5.62,BR,1689709830
173,zarate,-34.0981,-59.0286,12.73,10,20,1.36,AR,1689709980
174,madang,-5.2246,145.7966,23.51,92,46,1.9,PG,1689709980
175,zeya,53.75,127.2667,17.96,69,2,2.06,RU,1689709980
176,kobuleti,41.82,41.7753,19.0,81,0,2.1,GE,1689709981
177,olonkinbyen,70.9221,-8.7187,4.43,95,89,7.8,SJ,1689709981
178,tolanaro,-25.0319,46.9987,21.04,94,75,5.14,MG,1689709981
179,la sarre,48.8002,-79.1996,17.79,65,73,3.92,CA,1689709981
180,rundu,-17.9333,19.7667,13.87,35,0,2.16,NA,1689709982
181,marka,1.7159,44.7717,24.77,85,92,7.74,SO,1689709982
182,happy valley-goose bay,53.3168,-60.3315,31.17,35,20,9.77,CA,1689709982
183,aoulef,26.9667,1.0833,37.79,7,0,3.47,DZ,1689709983
184,laguna,38.421,-121.4238,37.27,33,0,4.63,US,1689709983
185,kalakkadu,8.5,77.5667,25.0,83,100,2.71,IN,1689709983
186,kuqa,41.7278,82.9364,30.88,21,3,1.9,CN,1689709984
187,lamar,33.6668,-95.5836,39.24,57,0,5.66,US,1689709984
188,mossel bay,-34.1831,22.146,11.96,75,48,11.87,ZA,1689709965
189,klichaw,53.4928,29.3352,14.91,66,3,4.23,BY,1689709984
190,fale old settlement,-9.3852,-171.2468,28.13,75,93,4.62,TK,1689709956
191,camp verde,34.5636,-111.8543,42.37,15,13,5.19,US,1689709985
192,invercargill,-46.4,168.35,9.85,71,100,4.93,NZ,1689709659
193,deqen,29.9618,90.7188,10.43,86,100,1.39,CN,1689709985
194,vilyuchinsk,52.9306,158.4028,14.15,84,26,3.3,RU,1689709986
195,badger,64.8,-147.5333,20.21,74,75,2.57,US,1689709986
196,cassilandia,-19.1133,-51.7342,31.31,27,100,3.23,BR,1689709779
197,chernyshevskiy,63.0128,112.4714,12.97,62,100,1.9,RU,1689709986
198,thulamahashi,-24.7246,31.1994,16.01,34,0,2.33,ZA,1689709987
199,luderitz,-26.6481,15.1594,16.67,79,0,10.37,NA,1689709987
200,jonesboro,35.8423,-90.7043,32.83,66,40,4.12,US,1689709845
201,dryden,49.7833,-92.7503,17.16,67,20,2.06,CA,1689709789
202,mirny,62.5353,113.9611,12.45,60,100,2.03,RU,1689709987
203,cuito,-12.3833,16.9333,13.5,38,0,0.78,AO,1689709988
204,el bauga,18.262,33.9081,36.02,11,15,4.37,SD,1689709988
205,notodden,59.5594,9.2585,15.84,61,11,0.89,NO,1689709988
206,queenstown,-31.8976,26.8753,15.69,28,0,6.92,ZA,1689709988
207,touros,-5.1989,-35.4608,25.56,81,73,7.38,BR,1689709854
208,sarykemer,43.0,71.5,24.71,32,0,2.04,KZ,1689709989
209,acapulco de juarez,16.8634,-99.8901,32.35,59,99,4.39,MX,1689709824
210,kargasok,59.0556,80.8572,14.57,79,13,1.79,RU,1689709989
211,beira,-19.8436,34.8389,18.05,100,20,1.03,MZ,1689709977
212,trenggalek,-8.05,111.7167,22.2,95,88,2.11,ID,1689709990
213,karratha,-20.7377,116.8463,18.88,29,29,2.87,AU,1689709990
214,papao,-17.75,-149.55,27.82,75,65,9.7,PF,1689709990
215,porto novo,6.4965,2.6036,26.9,88,86,3.66,BJ,1689709881
216,san sebastian de la gomera,28.0916,-17.1133,25.21,73,20,4.12,ES,1689709991
217,kidal,18.4411,1.4078,37.18,19,21,4.49,ML,1689709991
218,santa marta,11.2408,-74.199,32.72,71,20,4.12,CO,1689709991
219,santo pipo,-27.1413,-55.4087,14.78,52,0,2.08,AR,1689709992
220,tralee,52.2704,-9.7026,14.51,92,64,4.31,IE,1689709992
221,haiku-pauwela,20.9219,-156.3051,28.01,48,20,7.72,US,1689709992
222,qaqortoq,60.7167,-46.0333,10.12,89,100,2.6,GL,1689709993
223,querecotillo,-4.8378,-80.6456,33.23,37,6,4.1,PE,1689709993
224,burao,9.5221,45.5336,25.27,44,33,11.42,SO,1689709993
225,lerwick,60.1545,-1.1494,12.0,77,100,7.99,GB,1689709949
226,fairfax,38.8501,-77.3497,33.19,47,20,2.06,US,1689709527
